id,table,column,class_id,property_id,issuer_id,issued,modifier_id,modified
0cde0ae0-1fa4-11ee-9b66-ff42ce833e05,asset,theme_taxonomy,dcat:Catalog,dcat:themeTaxonomy,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae1-1fa4-11ee-9b66-ff42ce833e05,asset,record,dcat:Catalog,dcat:record,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae2-1fa4-11ee-9b66-ff42ce833e05,asset,asset_id,dcat:Catalog,dcat:dataset,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae3-1fa4-11ee-9b66-ff42ce833e05,asset,asset_id,dcat:Catalog,dcat:service,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae4-1fa4-11ee-9b66-ff42ce833e05,asset,distribution,dcat:Dataset,dcat:distribution,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae5-1fa4-11ee-9b66-ff42ce833e05,asset,frequency,dcat:Dataset,dcterms:accrualPeriodicity,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae6-1fa4-11ee-9b66-ff42ce833e05,asset,spatial_resolution_in_meters,dcat:Dataset,dcat:spatialResolutionInMeters,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae7-1fa4-11ee-9b66-ff42ce833e05,asset,temporal_resolution,dcat:Dataset,dcat:temporalResolution,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae8-1fa4-11ee-9b66-ff42ce833e05,asset,spatial,dcat:Dataset,dcterms:spatial,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ae9-1fa4-11ee-9b66-ff42ce833e05,asset,temporal,dcat:Dataset,dcterms:temporal,std_admin,2023-07-11 04:33:14.602+00,,
0cde0aea-1fa4-11ee-9b66-ff42ce833e05,asset,was_generated_by,dcat:Dataset,prov:wasGeneratedBy,std_admin,2023-07-11 04:33:14.602+00,,
0cde0aeb-1fa4-11ee-9b66-ff42ce833e05,asset,in_series,dcat:Dataset,dcat:inSeries,std_admin,2023-07-11 04:33:14.602+00,,
0cde0aec-1fa4-11ee-9b66-ff42ce833e05,asset,endpoint_url,dcat:DataService,dcat:endpointURL,std_admin,2023-07-11 04:33:14.602+00,,
0cde0aed-1fa4-11ee-9b66-ff42ce833e05,asset,endpoint_description,dcat:DataService,dcat:endpointDescription,std_admin,2023-07-11 04:33:14.602+00,,
0cde0aee-1fa4-11ee-9b66-ff42ce833e05,asset,serves_dataset,dcat:DataService,dcat:servesDataset,std_admin,2023-07-11 04:33:14.602+00,,
0cde0af0-1fa4-11ee-9b66-ff42ce833e05,asset,representative_category,dcat:Resource,dcat:theme,std_admin,2023-07-25 05:22:30.243583+00,,
